Severity,Gender,Age Group,Weight Category,Exercise 1,Exercise 2,Nutritional Advice 1,Nutritional Advice 2
Normal,Male,Under 20,Underweight,Bodyweight Squats,Short Sprints,"Increase Calorie Intake (Nuts, Dairy)","Add Protein-Rich Diet (Chicken, Eggs,Fish)"
Normal,Male,Under 20,Normal Weight,Jump Rope,Running,Have Balanced Macronutrients,Stay Hydrated (2.5L water daily)
Normal,Male,Under 20,Overweight/Obese,Strength Training (Seated Leg Presses),"Cycling, Walking",Reduce Sugar & Refined Carbs,"Increase Fiber-Rich Foods (Vegetables, Whole Grains)"
Normal,Male,20-40,Underweight,Squats &  Lunges,Jump Rope,"Add High-Protein, High-Calorie Foods","Add Healthy Fats (Avocado, Nuts)"
Normal,Male,20-40,Normal Weight,Dynamic Stretching,"Running, Cycling,Swimming",Increase Whole Grains & Lean Proteins,"Increase Omega-3 intake (Fish, Walnuts)"
Normal,Male,20-40,Overweight/Obese,"Cycling, Swimming",Stretching  Exercises,Reduce Processed Carbs,"Increase Protein, Fiber & Healthy Fats Intake"
Normal,Male,40-60,Underweight,Resistance Bands,"Walking, Cycling","High-Calorie, Nutrient-Dense Diet",Increase Vitamin D & Calcium-Rich Foods
Normal,Male,40-60,Normal Weight,Yoga,Light Strength Training,"Balanced Diet with Healthy Fats, Lean Protein",Maintain Hydration & Fiber Intake
Normal,Male,40-60,Overweight/Obese,Water Aerobics,Brisk Walking,"Add Anti-Inflammatory Foods (Fatty Fish,Turmeric, Ginger)",Reduce Salt Intake
Normal,Male,Over 60,Underweight,Chair Exercises,Tai Chi,Include Dairy & Protein for Bone Health,Take Frequent Small Meals
Normal,Male,Over 60,Normal Weight,"Walking, Swimming",Stretching,Add Antioxidant-Rich Foods,"Increase Protein, Fiber & Healthy Fats Intake"
Normal,Male,Over 60,Overweight/Obese,Strength Training (Seated Leg Presses),"Walking, Cycling",Increase Fiber-Rich Foods Intake,"Include Anti-Inflammatory Foods(Nuts, Olive Oil, Berries)"
Normal,Female,Under 20,Underweight,Bodyweight Workouts,Dance Aerobics,Increase Calcium-Rich Foods,Take Small Frequent Meals
Normal,Female,Under 20,Normal Weight,Dance Workouts,"Cycling, Swimming",Balanced Diet With Adequate Protein & Vitamins,Increase Vitamin D Intake
Normal,Female,Under 20,Overweight/Obese,"Brisk Walking, Swimming",Resistance Bands,Cut Down On Sugary Drinks,"Increase Protein & Fiber Intake (Lean Meats, Legumes, Whole Grains)"
Normal,Female,20-40,Underweight,"Yoga, Pilates",Resistance Training,Increase High-Calorie Healthy Foods,"Increase Omega-3 Intake (Flaxseeds, Walnuts)"
Normal,Female,20-40,Normal Weight,Jogging,Yoga,"Balanced Macronutrients (Proteins, Carbs, Healthy fats)",Focus On Hydration
Normal,Female,20-40,Overweight/Obese,"Swimming, Cycling",Brisk Walking,"Include High-Fiber, Protein-Rich Meals","Add Anti-Inflammatory Foods (Avocados, Nuts, Berries) "
Normal,Female,40-60,Underweight,Light Strength Training,Yoga,Healthy Fats For Joint Support,"Include Calcium-Rich Foods (Dairy, Almonds)"
Normal,Female,40-60,Normal Weight,Pilates,Brisk Walking,Increase Vitamin C Intake,"Balanced Macronutrient Intake (Lean Proteins, Whole Grains)"
Normal,Female,40-60,Overweight/Obese,Cycling,"Yoga, Pilates",Reduce Processed Foods,Increase Fiber Intake
Normal,Female,Over 60,Underweight,Chair Yoga,Light Resistance Training,"Increase Vitamin D & Calcium (Beans, Fish)","Consume Healthy Fats (Avocados, Nuts)"
Normal,Female,Over 60,Normal Weight,"Walking, Cycling",Stretching,"Increase Whole Foods, Fruits & Vegetables",Stay Hydrated (2.5L water daily)
Normal,Female,Over 60,Overweight/Obese,Water Aerobics,Seated Exercises,Cut Down On Sodium,"Increase Fiber Intake (Whole Grains, Vegetables)"
Doubtful,Male,Under 20,Underweight,"Wall Sits, Calf Raises",Light Jogging,Increase Calorie Intake (Healthy Fats),"Increase Omega-3-Rich Foods(Salmon,Flaxseed)"
Doubtful,Male,Under 20,Normal Weight,Foam Rolling & Stretching,Cycling,"Add Anti-Inflammatory Foods (Turmeric, Ginger)",Stay hydrated (2.5L water daily)
Doubtful,Male,Under 20,Overweight/Obese,Brisk Walking,"Bodyweight Squats, Leg Raises",Reduce Processed Sugars,"Increase Lean Proteins (Chicken, Fish, Tofu)"
Doubtful,Male,20-40,Underweight,"Low Impact Activities (Jumping, Sprinting)",Step-Ups,"Include Anti-Inflammatory Foods (Ginger, Turmeric)",Increase Calcium & Vitamin D-Rich Foods
Doubtful,Male,20-40,Normal Weight,"Leg Strengthening Workouts(Squats,Lunges,Calf Raises)",Rowing Exercise,Add Lean Proteins & Whole Grains,"Add Omega-3 Rich Foods (Salmon, Flaxseeds)"
Doubtful,Male,20-40,Overweight/Obese,Water Aerobics,Brisk Walking,"Increase Anti-Inflammatory Foods (Green Veggies, Nuts)",Increase Fiber & Hydration
